#! FIELDS     Id          Pos_0         Pos_1         Pos_2         Density          Error
               0     17.9083137    16.1495918     7.4487864   1.0808165e+02  0.0000000e+00
               1     19.7861122    17.7201843     3.5570798   1.0718875e+02  0.0000000e+00
               2     18.4140557    16.3550665     7.3603879   1.0661191e+02  0.0000000e+00
               3     18.9112481    16.7746130     9.2032859   1.0467687e+02  0.0000000e+00
               4     19.7926013    17.7985594     3.5645786   1.0264655e+02  0.0000000e+00
               5     18.7286558    18.4351546     1.9931180   1.0114515e+02  0.0000000e+00
               6     17.8365014    16.2351779     7.4486764   9.9296033e+01  0.0000000e+00
               7     17.9783819    16.1355732     7.5346697   9.7806580e+01  0.0000000e+00
               8     18.5659685    16.7737691     7.0141197   9.7661495e+01  0.0000000e+00
               9     18.5005903    16.3546631     7.2897225   9.7072780e+01  0.0000000e+00
              10     18.5577352    16.7669616     7.0923940   9.6679568e+01  0.0000000e+00
              11     18.2922398    17.4912856     6.4098716   9.6396722e+01  0.0000000e+00
              12     19.7843681    17.7917519     3.6428530   9.6025474e+01  0.0000000e+00
              13     18.0585922    17.8059962     6.6518634   9.4698384e+01  0.0000000e+00
              14     18.3422433    16.4406526     7.3602779   9.4653286e+01  0.0000000e+00
              15     19.5518671    17.2334060     4.6860914   9.4370976e+01  0.0000000e+00
              16     18.0503590    17.7991886     6.7301377   9.4212413e+01  0.0000000e+00
              17     19.2848606    16.5756313     7.6306305   9.3890294e+01  0.0000000e+00
              18     19.8002919    17.5869451     4.1051102   9.3875155e+01  0.0000000e+00
              19     19.8805638    17.9474677     5.2611620   9.3761757e+01  0.0000000e+00
              20     18.9194813    16.7814205     9.1250116   9.3535304e+01  0.0000000e+00
              21     17.2123288    21.4689023     4.8881058   9.3530804e+01  0.0000000e+00
              22     18.8704464    18.9957303     5.1663494   9.2789605e+01  0.0000000e+00
              23     17.9718928    16.0571981     7.5271708   9.2579618e+01  0.0000000e+00
              24     19.4558428    16.9339240     4.5702126   9.2380993e+01  0.0000000e+00
              25     20.1700451    17.1689106     4.8252372   9.2319131e+01  0.0000000e+00
              26     17.8217791    16.1499952     7.5194518   9.2067301e+01  0.0000000e+00
              27     18.8264577    16.7034488     9.1881781   9.1656081e+01  0.0000000e+00
              28     18.3640521    17.4056995     6.4099816   9.1547191e+01  0.0000000e+00
              29     20.0460590    17.4314421     6.3499439   9.1538168e+01  0.0000000e+00
              30     19.5501230    17.3049735     4.7718646   9.1517985e+01  0.0000000e+00
              31     18.3473593    16.9527832     5.3323141   9.1419831e+01  0.0000000e+00
              32     18.4941012    16.2762880     7.2822236   9.0917468e+01  0.0000000e+00
              33     17.2906301    21.4616913     4.8957147   9.0682954e+01  0.0000000e+00
              34     17.9065696    16.2211593     7.5345597   9.0559199e+01  0.0000000e+00
              35     19.7368843    17.5355728     5.5291560   9.0198137e+01  0.0000000e+00
              36     19.9691721    21.3738996     3.4954394   9.0063907e+01  0.0000000e+00
              37     18.0302943    16.7625743     7.5946609   8.9976937e+01  0.0000000e+00
              38     19.2173954    16.5156248     4.9871462   8.9958705e+01  0.0000000e+00
              39     19.0340259    18.6950382     4.8384744   8.9744642e+01  0.0000000e+00
              40     18.3391261    16.9459756     5.4105885   8.9735083e+01  0.0000000e+00
              41     20.0542922    17.4382497     6.2716696   8.9595936e+01  0.0000000e+00
              42     18.8394358    16.8601990     9.2031759   8.9577101e+01  0.0000000e+00
              43     18.4287779    16.4402492     7.2896125   8.9458868e+01  0.0000000e+00
              44     18.3439875    16.3690851     7.2745047   8.9359812e+01  0.0000000e+00
              45     19.3397188    16.8410753     8.1378810   8.9342356e+01  0.0000000e+00
              46     18.7740509    18.3340605     7.1717065   8.9107320e+01  0.0000000e+00
              47     19.3570091    18.0954805     8.3285287   8.9091167e+01  0.0000000e+00
              48     19.4677907    17.2368977     5.5546079   8.8574484e+01  0.0000000e+00
              49     19.5471489    17.0168105     9.4507016   8.8572755e+01  0.0000000e+00
              50     19.5587540    17.6073162     7.4302366   8.8571720e+01  0.0000000e+00
              51     19.3710523    16.8627599     4.5551047   8.8439748e+01  0.0000000e+00
              52     20.1765341    17.2472857     4.8327361   8.8354051e+01  0.0000000e+00
              53     19.5759627    18.3453071     3.0312160   8.8294931e+01  0.0000000e+00
              54     19.7778790    17.7133767     3.6353541   8.8256977e+01  0.0000000e+00
              55     18.8476690    16.8670066     9.1249015   8.8218533e+01  0.0000000e+00
              56     19.6908285    17.4287055     9.1827077   8.8038176e+01  0.0000000e+00
              57     18.7922349    18.3427609     2.0715023   8.7707408e+01  0.0000000e+00
              58     19.7462159    21.6985061     4.4570081   8.7583609e+01  0.0000000e+00
              59     18.0220611    16.7557667     7.6729352   8.7528817e+01  0.0000000e+00
              60     18.3288874    17.8146819     7.1594439   8.7423697e+01  0.0000000e+00
              61     19.5354556    17.8028579     4.5744261   8.7366201e+01  0.0000000e+00
              62     19.0797372    18.3730649     8.1640410   8.7346278e+01  0.0000000e+00
              63     18.0367834    16.8409494     7.6021598   8.7287471e+01  0.0000000e+00
              64     20.0899994    17.2476891     4.9034015   8.7151699e+01  0.0000000e+00
              65     19.7304501    18.0402648     5.2534431   8.7125763e+01  0.0000000e+00
              66     19.0751171    16.3196944     2.1645065   8.7012395e+01  0.0000000e+00
              67     17.9481201    20.3366671     5.2656900   8.6919799e+01  0.0000000e+00
              68     17.8766374    16.4154392     8.0267023   8.6910591e+01  0.0000000e+00
              69     20.6437944    17.8611119     7.1677766   8.6699180e+01  0.0000000e+00
              70     18.2698884    16.3078168     7.9789738   8.6668499e+01  0.0000000e+00
              71     17.0977027    19.0388702     4.5849746   8.6557403e+01  0.0000000e+00
              72     19.5794643    21.9214540     3.1034075   8.6455263e+01  0.0000000e+00
              73     19.6323654    18.0332297     7.0763594   8.6442485e+01  0.0000000e+00
